CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
510,Alessandria,461,NA,1122,-219,-21.92,NA,NA,NA,NA,-0.91,0.83,0.17,-771
511,Alessandria,456,7,279,14,8.17,29.57,59.97,NA,4.98,0.27,0.94,0.06,30
512,Gorizia,450,1,1251,2,3.19,0.56,5.21,3.84,8.73,1.24,0.54,0.46,714
513,Vicenza,448,6,334,7,3.29,2.66,62.6,4.26,2.46,0,1,0,276
514,Milano,444,2,479,6,2.3,2.83,55.96,3.66,2.48,0,1,0,234
515,Alessandria,438,3,449,7,4.69,1.91,34.97,5.38,4.74,0.02,1,0,404
516,Padova,435,10,438,18,6.08,24.95,66.68,10.95,5.99,2.42,0.5,0.5,111
517,Milano,434,5,395,-210,-52.44,NA,NA,NA,-46.98,-0.73,1,0,-231
518,Vicenza,433,NA,231,-10,-2.25,-10.71,NA,-3.16,-1.19,0.85,0.77,0.23,-30
519,Vicenza,431,8,215,20,12.1,60.78,78.67,26.95,5.68,1.04,0.84,0.16,-1
520,Vicenza,431,NA,667,-64,-3.46,NA,NA,-10.14,-5.2,-5.28,0.98,0.02,34
521,Alessandria,428,NA,325,-293,-96.26,NA,NA,NA,NA,-0.34,0.95,0.05,-701
522,Venezia,424,5,440,6,6.52,2.83,20.24,12.57,6.77,0.11,0.98,0.02,278
523,Milano,423,7,337,-28,-5.38,NA,NA,-26.64,-4.28,4.81,0.89,0.11,127
524,Alessandria,422,3,290,9,11.27,6.15,28.48,NA,7.08,NA,1,0,107
525,Milano,421,3,586,2,1.16,0.77,31.32,2.27,1.57,0.09,0.61,0.39,82
526,Vicenza,420,8,617,-97,-13.88,-39.47,NA,NA,-20.24,NA,0.54,0.46,416
527,Vicenza,417,2,117,2,0.54,9.38,361.11,1.39,0.14,0,1,0,-50
528,Milano,416,1,249,-2,1.18,-15.39,-75.24,12.72,0.7,0.61,1,0,7
529,Alessandria,406,3,1371,-10,0.01,-0.88,NA,0.01,0.04,0,0.99,0.01,1050
530,Vicenza,405,2,855,36,7.11,7.66,59.4,12.89,14.33,0,1,0,529
531,Vicenza,404,3,187,6,5.46,5.63,56.83,NA,2.51,NA,1,0,107
532,Alessandria,403,1,429,-327,-76.42,-78.39,NA,NA,NA,0,1,0,207
533,Milano,398,2,1148,-154,-16.99,-20.92,NA,-26.29,-48.44,0,1,0,443
534,Vicenza,398,10,240,-64,-22.2,NA,NA,NA,-13.35,-1.24,1,0,-100
535,Alessandria,398,5,1228,-32,0.68,-11.63,-388.4,0.77,1.78,2.64,0.69,0.31,609
536,Alessandria,398,0,1185,-29,1.87,-3.82,-130.08,2.12,5.51,0.38,0.32,0.68,906
537,Vicenza,397,7,503,12,5.28,5.31,43.67,11.55,6.63,0.05,0.99,0.01,250
538,Vicenza,397,4,340,9,6.8,4.04,38.95,7.95,5.82,0.31,0.67,0.33,152
539,Torino,395,0,1266,-375,-27.75,NA,NA,NA,NA,-3.96,0.4,0.6,-167
540,Vicenza,392,4,1553,1,0.14,2.13,36.55,0.17,0.57,33.85,0.81,0.19,165
541,Vicenza,391,6,222,13,13.51,37.64,44.4,NA,7.51,1.16,0.98,0.02,51
542,Vicenza,390,4,352,10,8.65,6.47,31.54,14.23,7.67,0.44,1,0,200
543,Vicenza,388,3,446,9,4.09,4.73,47.13,NA,4.64,NA,0.11,0.89,413
544,Vicenza,386,2,388,91,25.05,25.23,93.57,NA,23.04,NA,0,1,372
545,Verona,385,4,273,6,2.55,8.38,84.31,9.93,1.81,0,0.98,0.02,210
546,Vicenza,385,1,124,2,4.42,4.31,45,NA,1.42,NA,1,0,92
547,Vicenza,382,NA,212,4,13.89,20.33,13.82,NA,7.72,NA,0.82,0.18,32
548,Torino,380,2,467,-14,-1.53,-11.72,NA,NA,-1.84,NA,0.52,0.48,155
